,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z_subj(emp).23,0.5007802510964351,0.05851534112649589,0.3880656327633851,0.46114287366150475,0.4998544002096645,0.5392845032117093,0.6191579392912404,0.0019654954780783584
z_subj(emp).24,0.5297066364959461,0.05955301344491778,0.4147018925101805,0.4900008603628158,0.5283985996934407,0.5699094503131399,0.649908807021435,0.0025095297943057053
z_subj(emp).25,0.4270929052489079,0.040625838804290534,0.3479763058428418,0.3996046580371824,0.4265693259989451,0.4549656048875392,0.5073651787090062,0.0008054621157395344
z_subj(emp).26,0.41484280600475615,0.04146517237532329,0.3357209049643031,0.3862520977789072,0.4149430104289648,0.4428133613220243,0.4969780195796756,0.0009451634338431466
z_subj(emp).27,0.5434941351953426,0.043342852828621,0.4594607660073342,0.5134497773283392,0.5428629879652269,0.5726003349017615,0.630229806329184,0.0010640777090226293
z_subj(emp).28,0.5459401614665692,0.04736707116560864,0.4547446318396075,0.5136134861487289,0.5446382140998843,0.5778580829612223,0.6387797804809997,0.0013051070304781441
z_subj(emp).29,0.5309182282282673,0.04218668517124493,0.44857655904437227,0.5028345330842687,0.5298062721952582,0.559442693086998,0.6124771465244692,0.0009088117479412166
z_subj(emp).30,0.5622979275208544,0.050780484213030774,0.46525516826534474,0.5271647124530682,0.563147100046482,0.5971780655949532,0.6623861341683324,0.0017800685408757527
z_subj(emp).31,0.48774777600743635,0.04064172933336731,0.409239483619805,0.4597285169725668,0.4866430940183526,0.5157835534112694,0.5690133981821651,0.0007714254611185875
z_subj(emp).32,0.5075618275587132,0.05310353783925505,0.4054274285218848,0.47123837780684436,0.5069229863530523,0.5427662621845005,0.6138185685877391,0.001490831027732471
z_subj(empego).0,0.5427754683046276,0.058798108848129915,0.4324695763511083,0.5009798418377027,0.5420097160035874,0.5846205814730376,0.6595182081933432,0.002199274375661253
z_subj(empego).1,0.4901775921080746,0.052710049281730405,0.3903338022218397,0.4552240676411559,0.4899211757569165,0.5245823171722737,0.5975834667534425,0.0018640297259120459
z_subj(empego).2,0.5331865043688009,0.058356553558211365,0.41988682146107176,0.4940784879919883,0.5324562549645049,0.5720633392289792,0.6520304571400135,0.0020871621049380774
z_subj(empego).4,0.509428421262175,0.058945414547426876,0.3993384194464768,0.46903437928317715,0.5072438906802645,0.5499533040967998,0.6249259247443811,0.002276018469869963
z_subj(empego).5,0.5014108441317434,0.05714652243719532,0.39313285564998446,0.46264711423417426,0.500458233612525,0.5399316862803945,0.6144142521955884,0.00205281619186778
z_subj(empego).6,0.463327301760357,0.04891837558727096,0.3693459473366215,0.4299408487601564,0.46357506007081994,0.4951975117999289,0.5613801954392399,0.0011992918295689863
z_subj(empego).7,0.49467857250442343,0.04459549194383677,0.40987349277645563,0.46425733164088984,0.4948155094204055,0.5247878022724742,0.5821930292508162,0.0011591266830584357
z_subj(empego).8,0.3934704889746529,0.04022395183278882,0.31493592978217744,0.3658800824846893,0.3938268159736134,0.4210497676514175,0.4702636525113075,0.0010023033568505257
z_subj(empego).9,0.45307991651677193,0.046614775188452445,0.36199674397899856,0.4214690461079926,0.4523088304667606,0.4854614669064728,0.545292325092561,0.0011409328327089954
z_subj(empego).10,0.45734667732668444,0.04536443788976109,0.3687969268124126,0.4259415042814865,0.4577737952214006,0.48775481613901667,0.5460111164347159,0.0012546490790587598
z_subj(empego).11,0.5580704489746405,0.05898951640621179,0.44238943515511214,0.5166927911352522,0.5580136462922961,0.5981911161985086,0.6746014621359866,0.0020764936024026577
z_subj(empego).12,0.5046305598070304,0.06312996703840267,0.38404110314654566,0.46084451196063736,0.503246011833223,0.5460607141697412,0.6358014810239008,0.00261488012747185
z_subj(empego).13,0.5450207523441365,0.05668278004335291,0.4361632829992228,0.5055061664600057,0.5452157488629996,0.5833532176773615,0.6557547743853028,0.002272879741782966
z_subj(empego).14,0.49915691043842914,0.056732984534295976,0.38864478073523895,0.4606372109163617,0.4983866583185424,0.5375870343291137,0.6096952633366475,0.0019226506600250337
z_subj(empego).15,0.3601852837701039,0.04195679768742548,0.281666756297786,0.33113921677199604,0.35858303192215235,0.38848233525334797,0.44692921296496446,0.001005233318181132
z_subj(empego).16,0.5770088395389157,0.04996857367691432,0.47904851308039736,0.5426532647818848,0.5772044833444323,0.6113099144316393,0.6747292536318781,0.0016027994405948271
z_subj(empego).17,0.5574626043965824,0.06605649910420548,0.42862775083620636,0.5104264610937869,0.5590025205127157,0.6015778173369508,0.6884149917487048,0.002657660052717627
z_subj(empego).18,0.4302876428408449,0.043986502784312105,0.34366663978997636,0.40074206396309886,0.43011821652012694,0.4600257428474867,0.5143064506280992,0.0009508682339016075
z_subj(empego).19,0.45308206061758305,0.04081879325450117,0.3744850879514697,0.4258234545451121,0.45284525484349164,0.48019716926639816,0.534245269448134,0.0009656368041039096
z_subj(empego).21,0.4346900615899627,0.04860610996381604,0.3401624928053102,0.4022134087762559,0.4342979032985811,0.4678706386191295,0.5299976167809807,0.0012509419009553485
z_subj(empego).22,0.4779808405250355,0.046826863735872575,0.3872630325129808,0.4454154518036973,0.4779325125768591,0.5100450223970895,0.5680381266921939,0.001315861212791669
z_subj(empego).23,0.5485853999346032,0.06560727526707215,0.42426505417585714,0.5020118441245679,0.5487840233595471,0.5917179939647302,0.6788042935669374,0.002606148974141584
z_subj(empego).24,0.5225029357639318,0.05624190893852914,0.41422334331492405,0.4830970862846959,0.5219514554744094,0.5611227672148623,0.6331212001866513,0.0022889386769407447
z_subj(empego).25,0.511750069858453,0.062036082238396115,0.3898696284448658,0.4706001382221123,0.5113994621860213,0.5528937881832469,0.6380468918464403,0.002473394987923083
z_subj(empego).26,0.5310953902671248,0.048568346051254194,0.43560491177324134,0.4989401472787718,0.5311297512620967,0.5635988639219732,0.6270104798778986,0.0014788012947968584
z_subj(empego).27,0.5257131903614239,0.05772008836636146,0.41460033300588023,0.48563957347801767,0.5269651341049928,0.5654046103997095,0.634734973775787,0.0021403351309732164
z_subj(empego).28,0.5461986739733355,0.058917804073728625,0.43156148856946913,0.5060558347239745,0.5463280587151783,0.5868065944740928,0.660911776324528,0.002232605567038905
z_subj(empego).29,0.4048371912699766,0.04187940826407219,0.32297470918983157,0.37645090121876856,0.40405488308519244,0.4329610968240323,0.48938677647657697,0.0009939176617010529
z_subj(empego).30,0.5067310901059057,0.046833051101681164,0.4142758422835599,0.47475116670000456,0.5062265415809357,0.5377231495562784,0.600417036460641,0.0015239500773438623
z_subj(empego).31,0.5329375809784896,0.04878372364802008,0.4416272993249366,0.4995522762636338,0.5313596152575881,0.5647384765399494,0.632913410300352,0.001432211261032721
z_subj(empego).32,0.48426986875839373,0.05580614746524791,0.374325687355051,0.4477010349214474,0.485601803491802,0.5226788734134379,0.5925958871875538,0.0018521674151052517
v_Intercept(emp),4.797908466925129,0.3827494895808845,4.050571326817635,4.532168202405507,4.803914667367301,5.060978204297763,5.525110525208002,0.030561888938588088
v_Intercept(empego),5.535829447352635,0.39842967724857375,4.74568904954366,5.261171861114782,5.541708637174819,5.811570460463714,6.295075396280441,0.03193503299181399
v_Intercept_std,1.125184681883207,0.13076978350667307,0.8945866280903539,1.0329351003628442,1.1175775639443182,1.2059687851757737,1.4039065327700726,0.0040445689460578225
v_Intercept_subj(emp).0,5.313634974072247,0.41508616388677433,4.518290081386557,5.032543261196995,5.323495344506879,5.603619344964051,6.1010850787039965,0.03295990302803263
v_Intercept_subj(emp).1,5.318260945274636,0.4398119847386646,4.426050724259441,5.029069211053207,5.32672526411764,5.624238416877732,6.168543099634915,0.032568114361702157
